index,disease_name,description,Possible Steps,image_url
10,ভুট্টা : উত্তরীয় পাতা ঝলসানো,"উত্তরীয় ভুট্টা পাতা ঝলসানো (NCLB) ছত্রাক Setosphaeria turcica দ্বারা সৃষ্ট। লক্ষণ সাধারণত প্রথমে নিচের পাতায় দেখা যায়। পাতা ক্ষত দীর্ঘ (১ থেকে ৬ ইঞ্চি) এবং ডিম্বাকৃতি, শুরুতে ধূসর-সবুজ কিন্তু পরে ফ্যাকাশে ধূসর বা বাদামী হয়ে যায়। স্যাঁতসেঁতে অবস্থায়, গাঢ় ধূসর স্পোর উৎপন্ন হয়, সাধারণত নিচের পাতা পৃষ্ঠে, যা ক্ষতগুলোকে ""ময়লা"" ধূসর রঙ প্রদান করে। গুরুতরভাবে আক্রান্ত গাছে সম্পূর্ণ পাতা মারা যেতে পারে, তাই পৃথক ক্ষত দৃশ্যমান থাকে না। হাইব্রিড ভুট্টার যে জাতগুলোতে ছত্রাক প্রতিরোধের জন্য Ht জিন রয়েছে, তাদের ক্ষতগুলো ছোট, ক্লোরোটিক এবং কখনও কখনও সরলরেখার মতো হয়। এই ক্ষতগুলো সাধারণত স্পোর উৎপন্ন করে না।","ফাঙ্গিসাইড প্রয়োগ উত্তরীয় ভুট্টা পাতা ঝলসানো থেকে ক্ষতি কমিয়েছে এবং ফলন রক্ষা করেছে। সংবেদনশীল ভুট্টার হাইব্রিডগুলোতে ফলন রক্ষায় ফাঙ্গিসাইডের মূল্য বেশি। রোগের শুরুতে ফাঙ্গিসাইড প্রয়োগ সবচেয়ে কার্যকর ছিল। রোগ শুরু হওয়ার সময় বিভিন্ন বৃদ্ধি পর্যায়ে পরিবর্তিত হয়, তাই ফাঙ্গিসাইড প্রয়োগের জন্য সেরা সময় নির্ধারণ করা গুরুত্বপূর্ণ।",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
11,ভুট্টা : স্বাস্থ্যকর,"ভুট্টা গাছ দিনের বেলা ৭৫ থেকে ৮০ ডিগ্রি ফারেনহাইট এবং রাতে ৬৫ থেকে ৭০ ডিগ্রি ফারেনহাইট তাপমাত্রা পছন্দ করে। মাটি ক্রমাগত আর্দ্র রাখুন, তবে স্যাঁতসেঁতে নয় এবং প্রতি ৬ মাসে একবার সার প্রয়োজন। যদিও ড্রাসিনা কম আলোতে টিকে থাকতে পারে, এটি উজ্জ্বল কিন্তু প্রত্যক্ষ আলোতে সবচেয়ে ভালো কাজ করে। এটি প্রাকৃতিকভাবে কয়েকটি হলুদ পাতা তৈরি করতে পারে, যা নিয়ে চিন্তার কিছু নেই। তবে, যদি একবারে পাঁচ বা ছয়টি হলুদ পাতা দেখা যায়, তাহলে এটি অতিরিক্ত পানি দেওয়ার কারণে হতে পারে বা গাছটি আলো স্বল্পতায় ভুগছে।","ভুট্টার বেশ কিছু স্বাস্থ্য উপকারিতা রয়েছে। এর উচ্চ ফাইবার উপাদান হজমে সহায়তা করে। এটি গুরুত্বপূর্ণ বি ভিটামিন সমৃদ্ধ, যা সামগ্রিক স্বাস্থ্যের জন্য গুরুত্বপূর্ণ। ভুট্টা আমাদের শরীরে প্রয়োজনীয় খনিজ যেমন জিঙ্ক, ম্যাগনেসিয়াম, তামা, লোহা এবং ম্যাঙ্গানিজ সরবরাহ করে।",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg
12,আঙ্গুর : কালো পচন,"আঙ্গুর কালো পচন একটি ছত্রাকজনিত রোগ যা ascomycetous ছত্রাক Guignardia bidwellii দ্বারা সৃষ্ট। এটি গরম ও আর্দ্র আবহাওয়ায় আঙ্গুর লতা আক্রান্ত করে। আঙ্গুর কালো পচন পূর্ব উত্তর আমেরিকায় উৎপন্ন হয়েছিল, তবে এটি এখন ইউরোপ, দক্ষিণ আমেরিকা এবং এশিয়ার কিছু অংশে পাওয়া যায়। এটি উষ্ণ ও আর্দ্র জলবায়ুতে সম্পূর্ণ ফসল নষ্ট করতে পারে, তবে শুষ্ক গ্রীষ্মের অঞ্চলে এটি প্রায় অজানা। এই রোগের নাম আসে পাতার বাদামী দাগের চারপাশে কালো সীমানা থেকে। রোগটি গাছের অন্যান্য অংশেও আক্রমণ করে, যেমন লতা, পাতা এবং ফলের কান্ড, শুঁয়োপোকা এবং ফল। এর সবচেয়ে ক্ষতিকর প্রভাব পড়ে ফলে।","ম্যানকোজেব BONIDE MANCOZEB FLOWABLE ফাঙ্গিসাইড হিসাবে উপলব্ধ। এটি ৩৭% ম্যানকোজেব ধারণ করে এবং কালো পচন নিয়ন্ত্রণে খুব কার্যকর হওয়া উচিত। নোভা (মাইক্লোবুটানিল) IMMUNOX FUNGICIDE হিসাবে উপলব্ধ। এটি ১.৫৫% মাইক্লোবুটানিল ধারণ করে এবং কালো পচন নিয়ন্ত্রণে কার্যকর হওয়া উচিত।",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg
13,Grape : Esca | Black Measles,"আঙ্গুরের মিজেলস, যা এসকা, ব্ল্যাক মিজেলস বা স্প্যানিশ মিজেলস নামেও পরিচিত, দীর্ঘদিন ধরে আঙ্গুর চাষীদের মধ্যে সমস্যার সৃষ্টি করে আসছে এর লক্ষণগুলোর অস্পষ্ট অভিব্যক্তি এবং দীর্ঘ সময় ধরে শনাক্তযোগ্য কারণের অভাবের জন্য। 'মিজেলস' নামটি ফলের উপর পাওয়া ত্বকের দাগগুলোর জন্য দেওয়া হয়েছে (ফিগার ১)। মৌসুমের সময়, এই দাগগুলো ত্বকের পৃষ্ঠের উপর একত্রিত হতে পারে, ফলে ফলগুলো কালো দেখায়। ফল সেটের সময় আক্রান্ত ফল সাধারণত পরিপক্ক হয় না এবং শুকিয়ে যায়। পরবর্তী মৌসুমে আক্রান্ত ফল তিক্ত স্বাদের হয়। পাতা লক্ষণগুলোর মধ্যে 'টাইগার স্ট্রাইপ' প্যাটার্ন অন্তর্ভুক্ত (ফিগার ২-নিচের পাতা)। হালকা সংক্রমণ অন্যান্য রোগ বা পুষ্টিগত ঘাটতির সাথে বিভ্রান্ত হতে পারে।","এখন পর্যন্ত এই রোগ নিয়ন্ত্রণের কার্যকর পদ্ধতি নেই। আক্রান্ত ফল, পাতা এবং কাণ্ড অপসারণ করে ধ্বংস করুন। ছত্রাক সংক্রমণ কমানোর জন্য ছাঁটাইয়ের ক্ষতগুলিকে সুরক্ষিত করুন (৫% বোরিক অ্যাসিড এবং এক্রিলিক পেইন্টের মিশ্রণ ব্যবহার করুন)।",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
14,Grape : Leaf Blight | Isariopsis Leaf Spot,"ছত্রাকটি একটি বাধ্যতামূলক রোগজীবাণু যা গাছের সবুজ অংশ আক্রমণ করতে পারে।
এই রোগের লক্ষণগুলো প্রায়শই পাউডারি মিলডিউর লক্ষণের সাথে বিভ্রান্ত হয়। সংক্রামিত পাতায় হলুদ-সবুজ দাগ দেখা যায়, যা ধীরে ধীরে বাদামী হয়ে যায়। তীব্র সংক্রমণে পাতা প্রায়ই আগাম ঝরে যায়।
সংক্রামিত ডাঁটা, কাণ্ড এবং অঙ্কুরগুলো ঘুরে যায়, মুচড়ে যায় এবং পরবর্তীতে বাদামী হয়ে মারা যায়।
যুব ফলগুলিতে সংক্রমণের সম্ভাবনা বেশি এবং প্রায়ই ছত্রাকের সাদা ফলনের কাঠামো দ্বারা আবৃত থাকে। সাদা জাতগুলির পুরানো সংক্রামিত ফল ধূসর-সবুজ রঙ ধারণ করতে পারে, যেখানে কালো জাতের ফল গোলাপি-লাল রঙ ধারণ করে।","ডরমেন্ট স্প্রে প্রয়োগ করে ইনোকুলামের মাত্রা কমান।
সংক্রমিত অংশ কেটে ফেলুন।
ছাউনিকে উন্মুক্ত করুন।
নিজেকে সুরক্ষিত রাখুন।
প্রাথমিক পর্যায়ে খুঁজে বের করুন।
প্রতিরক্ষামূলক এবং পদ্ধতিগত ফাংগিসাইড ব্যবহার করুন।
ফাংগিসাইড প্রতিরোধের বিষয়ে সতর্ক থাকুন।
আবহাওয়া নজরদারি করুন।",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15,Grape : Healthy,"শুধুমাত্র মূল অঞ্চলে পানি প্রয়োগ করুন। আঙ্গুরের পাতায় পানি লাগানো এড়িয়ে চলুন কারণ এটি অনেক আঙ্গুর রোগকে উত্সাহিত করতে পারে। শরৎকালে তরুণ লতাগুলিকে পানি কম দিন যাতে গাছটি তার কাণ্ড শক্ত করতে পারে এবং শীতের জন্য প্রস্তুত হতে পারে। পুরোনো লতাগুলিকে সাধারণত পানি দেওয়ার প্রয়োজন হয় না যদি না তারা বেলে বা খুব ভালো নিষ্কাশিত মাটিতে থাকে।","পুষ্টিতে পরিপূর্ণ, বিশেষত ভিটামিন সি এবং কে।
উচ্চ অ্যান্টিঅক্সিডেন্ট উপাদানগুলো দীর্ঘস্থায়ী রোগ প্রতিরোধে সহায়ক হতে পারে।
উদ্ভিদ যৌগগুলো নির্দিষ্ট ধরনের ক্যান্সারের বিরুদ্ধে সুরক্ষা দিতে পারে।
হৃদযন্ত্রের স্বাস্থ্যের জন্য বিভিন্ন উপায়ে উপকারী।
রক্তে শর্করার মাত্রা হ্রাস করতে পারে এবং ডায়াবেটিসের বিরুদ্ধে সুরক্ষা দিতে পারে।",https://images.indianexpress.com/2021/02/grapes-1200.jpg
16,Orange : Haunglongbing | Citrus Greening,"সাইট্রাস গ্রিনিং রোগ একটি সাইট্রাসের রোগ যা একটি ভেক্টর-প্রেরিত রোগজীবাণু দ্বারা সৃষ্ট। এই রোগের সাধারণ লক্ষণগুলোর মধ্যে শিরা এবং আশেপাশের টিস্যুর হলুদ হয়ে যাওয়া; পুরো পাতায় ছোপ ছোপ দাগ, অকাল পত্রঝরা, ডালপালার মৃত্যু, শিকড়ের পচন এবং উদ্ভিদের কার্যক্ষমতা হ্রাস অন্তর্ভুক্ত, যা শেষ পর্যন্ত পুরো গাছের মৃত্যুর দিকে নিয়ে যায়। আক্রান্ত গাছগুলো খর্ব বৃদ্ধি পায়, একাধিক অফ-সিজন ফুল ধরে (যার বেশিরভাগই ঝরে যায়), এবং ছোট, অনিয়মিত আকৃতির ফল দেয় যার পুরু, ফ্যাকাশে খোসা থাকে যা নিচের দিকে সবুজ থাকে এবং খুব তিক্ত স্বাদের হয়। সাধারণ লক্ষণগুলো প্রায়ই পুষ্টির ঘাটতির সাথে বিভ্রান্ত হতে পারে; তবে পুষ্টি ঘাটতির মধ্যে একটি সমান্তরাল প্যাটার্ন থাকে, যেখানে এইচএলবি-তে শিরার চারপাশে অসমান হলুদ হয়ে যাওয়া লক্ষ্য করা যায়। সবচেয়ে লক্ষণীয় লক্ষণ হলো ফলের সবুজাভ হওয়া এবং ফল পরিপক্ক হওয়ার পর খর্ব হওয়া।","সাইট্রাস গ্রিনিং রোগের বিস্তার প্রতিরোধের একমাত্র উপায় হলো এশিয়ান সাইট্রাস সাইক্লিড (ACP) নিয়ন্ত্রণ করা। যেহেতু সাইট্রাস একটি জনপ্রিয় এবং ব্যাপকভাবে রোপণকৃত বাগানের গাছ, তাই বাড়ির মালিকরা এই গুরুত্বপূর্ণ যুদ্ধে সামনের সারিতে রয়েছেন। নীম তেলের কীটনাশক দিয়ে লেবুর গাছের উভয় দিকের পাতায় স্প্রে করুন। সংক্রমণের মাত্রার উপর ভিত্তি করে ১০-১৪ দিনের মধ্যে পুনরায় প্রয়োগ করতে হতে পারে। পরে তরল কপার ফাঙ্গিসাইড দিয়ে ছাঁচের বৃদ্ধি দূর করুন।",https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg
17,Peach : Bacterial Spot,"ব্যাকটেরিয়াল স্পট হল পীচ, নেকটারিন, অ্যাপ্রিকট এবং প্লামের একটি গুরুত্বপূর্ণ রোগ যা Xanthomonas campestris pv. pruni দ্বারা সৃষ্ট। এই রোগের লক্ষণগুলোর মধ্যে ফলের দাগ, পাতার দাগ এবং ডালপালায় ক্যানকার রয়েছে। ফলের লক্ষণগুলোর মধ্যে রয়েছে গর্ত হওয়া, ফাটানো, আঠা বের হওয়া, এবং পানির মতো শুষ্ক টিস্যু, যা ফলকে বাদামী পচন, রাইজোপাস, এবং অন্যান্য ছত্রাকজনিত সংক্রমণের প্রতি আরও সংবেদনশীল করে তুলতে পারে। তীব্র পাতার দাগ সংক্রমণ অকাল পত্রঝরা সৃষ্টি করতে পারে। তীব্র পত্রঝরা ফলের আকার ছোট করে দিতে পারে এবং ফলের তাপদাহ এবং ফাটল সৃষ্টি করতে পারে। অকাল পত্রঝরা গাছের শক্তি এবং শীতকালীন সহনশীলতা হ্রাস করতে পারে।","ব্যাকটেরিয়াল স্পটের ফলের লক্ষণগুলো পীচ স্ক্যাবের সাথে বিভ্রান্ত হতে পারে, যা ছত্রাক Cladosporium carpophyllium দ্বারা সৃষ্ট, তবে স্ক্যাবের দাগগুলি বেশি গোলাকার, গা dark ় বাদামী/সবুজish , মোলায়েম দেখায় এবং ফলের পৃষ্ঠে গর্ত সৃষ্টি করে না, যদিও ত্বকের ফাটল হতে পারে। স্ক্যাব পাতার লক্ষণ সৃষ্টি করে না তবে ডালপালায় দাগ করতে পারে। ব্যাকটেরিয়াল স্পটের প্রাথমিক ফলের দাগগুলি একেবারে অগভীর হতে পারে কিন্তু পরবর্তীতে গহ্বরের মতো গর্তে পরিণত হতে পারে।",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg
18,Peach : Healthy,"পীচ গাছগুলি USDA জোন ৫ থেকে ৮ অথবা ৯-এ বৃদ্ধি পায়, এবং তারা ডোয়ার্ফ বা স্ট্যান্ডার্ড আকারে পাওয়া যায়, যা তাদের ব্যাকইয়ার্ড বাগানগুলির জন্য একটি দুর্দান্ত পছন্দ করে তোলে। বেশিরভাগ সজ্জাসম্পন্ন গাছগুলির মতো নয়, পীচ গাছগুলিকে স্বাস্থ্যকর এবং উৎপাদনশীল রাখতে নিয়মিত ছাঁটাই, সার দেওয়া এবং স্প্রে করার প্রয়োজন। গাছের চারপাশের মাটি ঘাস এবং আগাছা মুক্ত রাখুন যা জল এবং পুষ্টির জন্য প্রতিযোগিতা করবে এবং উদ্ভিজ্জ মালচ ব্যবহার করুন।","পুষ্টিতে পরিপূর্ণ এবং অ্যান্টিঅক্সিডেন্টে ভরপুর।
পাচনশক্তিতে সহায়ক হতে পারে।
হৃদযন্ত্রের স্বাস্থ্যের উন্নতি করতে সহায়ক হতে পারে।
ত্বকের সুরক্ষা করতে সহায়ক হতে পারে।
নির্দিষ্ট ধরনের ক্যান্সার প্রতিরোধ করতে সহায়ক হতে পারে।
অ্যালার্জি উপসর্গগুলি কমাতে সহায়ক হতে পারে।
ব্যাপকভাবে পাওয়া যায় এবং আপনার খাদ্যে সহজে যোগ করা যায়।",https://www.tasteofhome.com/wp-content/uploads/2019/06/peaches-shutterstock_297863489-1.jpg
19,Pepper bell : Bacterial Spot,"পাতায় দাগগুলি পুরানো পাতার নিচের পৃষ্ঠে ছোট পিম্পলের মতো এবং পাতার উপরের পৃষ্ঠে ছোট পানি-সোaked দাগ হিসেবে দেখা যায়, যা ব্যাকটেরিয়াল স্পটের একটি লক্ষণ। এটি মেরিল্যান্ডের একটি গুরুত্বপূর্ণ মরিচের রোগ। এটি মাঝে মাঝে টমেটোতে আক্রমণ করে। শেষ পর্যন্ত, দাগগুলির মধ্যে ধূসর থেকে তামার রং এবং গা dark ় সীমানা তৈরি হয়। গরম, আর্দ্র আবহাওয়ায় ক্ষতিগ্রস্ত স্থানগুলো বিস্তার লাভ করে। পাতাগুলি তখন হলুদ হয়ে যায়, তারপর বাদামী হয়ে পড়ে এবং ঝরে যায়। ক্ষতগুলি ডালে (স্টেমে)ও তৈরি হতে পারে। ফলে ছোট, উঁচু রুক্ষ দাগ তৈরি হয় যা খাওয়ার গুণমানকে প্রভাবিত করে না। তীব্রভাবে আক্রান্ত পাতাগুলি ঝরে পড়ে ফলে মরিচে সানস্কাল্ড হতে পারে। ব্যাকটেরিয়াল পাতার দাগ বৃষ্টি বা আর্দ্র, সংক্রামিত গাছপালা নিয়ে কাজ করার মাধ্যমে ছড়িয়ে পড়ে। এই রোগ আর্দ্র আবহাওয়ায় গাছপালা ঝরিয়ে ফেলতে পারে। গরম, শুষ্ক আবহাওয়া এই রোগের বিস্তার ধীর করে দেয়। রোগটি বীজ বা স্থানান্তরিত গাছপালা দিয়ে আসতে পারে এবং শস্যের অবশিষ্টাংশ এবং মাটিতে শীতকাল পার করতে পারে।","প্রতিরোধী জাতগুলি নির্বাচন করুন
বিষমুক্ত বীজ এবং স্থানান্তরিত গাছপালা কিনুন।
বীজগুলো ২ মিনিটের জন্য ১০% ক্লোরিন ব্লিচ দ্রবণে ভিজিয়ে রাখুন (১ ভাগ ব্লিচ; ৯ ভাগ পানি)। বীজগুলো ভালোভাবে ধুয়ে শুকিয়ে নিন তারপর রোপণ করুন।
গাছপালাগুলিকে গভীরভাবে মালচ করুন একটি ঘন জৈব পদার্থের মাধ্যমে, যেমন খবরের কাগজ যা খড় বা ঘাসের টুকরোর সাথে ঢাকা।
ওভারহেডে পানি দেওয়া এড়িয়ে চলুন।
মৌসুম শেষে মারাত্মকভাবে আক্রান্ত গাছের অংশ এবং সমস্ত ময়লা বাদ দিন।
প্রতি ১০-১৪ দিন পর পর স্থির তামা (জৈব ছত্রাকনাশক) স্প্রে করুন সংক্রমণের বিস্তার ধীর করতে।
যদি সংক্রমণ গুরুতর হয় তবে মরিচ গাছপালা অন্য স্থানে রোপণ করুন এবং রোপণের আগে মাটি ব্ল্যাক প্লাস্টিক মালচ বা ব্ল্যাক ল্যান্ডস্কেপ ফ্যাব্রিক দিয়ে ঢেকে দিন।",https://extension.umd.edu/sites/default/files/_images/programs/grow_it_eat_it/diseases/BacterialLeafSpot/bacterial_leaf_spot_pepper_plant_l.jpg
20,বেল পিপার : সুস্থ,"বেল পিপারগুলো ভালোভাবে সেচ দিন, তবে কখনই মাটি ভিজে স্যাঁত-s্যাঁত হয়ে যেতে দেবেন না। মাটি প্রায় ৬ ইঞ্চি গভীর পর্যন্ত সিক্ত করুন, তারপর একটু শুকাতে দিন। বিশেষ করে ফলের সময়, যখন ছোট পিপার ফুলের জায়গায় আসে এবং বেলগুলো পরিণত হয়, তখন সেচ খুব গুরুত্বপূর্ণ। নিয়মিত পানি দেওয়ার কারণে পিপারগুলো মজবুত ও সুস্থ থাকে।","লাল, কমলা, ও হলুদ বেল পিপারগুলো খুব উপকারী। এগুলো ভিটামিন, খনিজ, ও ফাইবারে পূর্ণ এবং ক্যালোরিতে কম! এগুলো ভিটামিন এ, ভিটামিন সি, ও পটাসিয়ামের দারুণ উৎস। বেল পিপারগুলো আরও ফোলেট ও আয়রনের ভাল উৎস।",https://www.healthbenefitstimes.com/9/gallery/bell-peppers/Bell-pepper-leaves.jpg
21,আলু : আর্লি ব্লাইট,"প্রথমে পুরানো (নিচের) পাতায় ছোট, গোলাকার বা অস্থির বাদামী বা কালো দাগ দেখা দেয়। দাগগুলি ধীরে ধীরে বড় হয় এবং কোণাকৃতির হয়ে যেতে পারে। আর্দ্র আবহাওয়ায় ব্লাইট দ্রুত ছড়ায়। প্রাথমিক ব্লাইটের চিকিৎসা হিসেবে আলু রোপণের সময় রোগ প্রতিরোধী জাত ব্যবহার করা উচিত। এছাড়া, গাছের মধ্যে যথেষ্ট বাতাস চলাচল নিশ্চিত করতে হবে যাতে পাতা তাড়াতাড়ি শুকিয়ে যায়।",প্রাথমিক ব্লাইটের প্রতিরোধের জন্য আলু জাত নির্বাচন করুন যেগুলো এই রোগের বিরুদ্ধে প্রতিরোধী। সেচের সময় উপরের পানি এড়িয়ে চলুন এবং গাছের মাঝখানে বাতাস চলাচল করতে দিন যাতে পাতাগুলো দ্রুত শুকায়।,https://www.ag.ndsu.edu/publications/crops/early-blight-in-potato/figure-1-opt.jpeg/@@images/468990cc-77a9-4e29-8779-0eb3e94e0407.jpeg
22,আলু : লেট ব্লাইট,"আলু ছাড়া পেটুনিয়া, টমেটো, ও হ্যারি নাইটশেডও এই রোগে আক্রান্ত হতে পারে। প্রথমে ছোট, হালকা সবুজ বা গা dark ় দাগ নিচের পাতায় দেখা দেয়, যা দ্রুত বড় হয় এবং বাদামী বা কালো হয়ে যায়। ঠান্ডা ও আর্দ্র আবহাওয়ায় এই রোগ দ্রুত ছড়ায়।",গম্ভীর দেরী ব্লাইট প্রতিরোধে ম্যানকোজেব স্প্রে করুন। রোগের শুরুতে ম্যানকোজেব 0.25% স্প্রে করুন এবং এক সপ্তাহ পরে আরও স্প্রে করুন।,https://www.ag.ndsu.edu/publications/crops/late-blight-in-potato/figure-2-opt.jpeg/@@images/dfe1e0b4-08d4-404a-8e66-474de72b1e91.jpeg
23,আলু : সুস্থ,"অনেক আলু গাছের জন্য নিয়মিত আর্দ্রতার প্রয়োজন হয়। তাই যখন আলুর গাছের মূল তৈরি হয়, তখন প্রতিদিন পানি দিন। আলু গাছগুলোর পানি এমনভাবে দিতে হবে যাতে মাটি ৮-১০ ইঞ্চি গভীর পর্যন্ত ভিজে যায়। গরম বা উষ্ণ আবহাওয়ায় মাটির দ্রুত শুকিয়ে যাওয়ার কারণে দিনে দুইবার প্রচুর পরিমাণে পানি দিন।","পুষ্টিতে পূর্ণ। অ্যান্টিঅক্সিডেন্টে ভরপুর। আলুতে ফ্ল্যাভোনয়েড, ক্যারোটিনয়েড ও ফেনলিক অ্যাসিডের মতো যৌগ থাকে। রক্তে শর্করা নিয়ন্ত্রণের ক্ষেত্রে সাহায্য করতে পারে। হজম ব্যবস্থা উন্নত করতে সাহায্য করে। প্রাকৃতিকভাবে গ্লুটেন-মুক্ত। খুব পরিপূর্ণ। অত্যন্ত বহুমুখী।",https://www.garden.eco/wp-content/uploads/2018/06/can-you-eat-potato-leaves.jpg
24,রাসপবেরি : সুস্থ,"বসন্ত থেকে কাটার পর পর্যন্ত প্রতি সপ্তাহে এক ইঞ্চি পানি দিন। নিয়মিত সেচ বিরতিতে গভীরভাবে সেচ দেওয়ার চেয়ে ভালো। রাসপবেরি গাছগুলোর আশপাশে যেসব 'সাকার' বা ক্যান থাকে, সেগুলো তুলে ফেলুন, না হলে তারা পুষ্টি শোষণ করবে এবং আগামী বছর কম বেরি হবে।","রাসপবেরি উচ্চ রক্তচাপ কমাতে সহায়তা করে। এতে থাকা ওমেগা-৩ ফ্যাটি অ্যাসিড স্ট্রোক ও হৃদরোগ প্রতিরোধ করতে সাহায্য করে। রাসপবেরিতে ম্যানগানিজ নামে এক খনিজ থাকে যা হাড় ও ত্বকের জন্য উপকারী এবং রক্তে শর্করা নিয়ন্ত্রণ করতে সহায়তা করে।",https://www.gardeningknowhow.com/wp-content/uploads/2009/04/raspberry.jpg
25,সয়াবিন : সুস্থ,"সয়াবিন মাটির নিচে উঠে আসা পর্যন্ত বীজবপন করে মাটি আর্দ্র রাখুন। ফুল ফোটার সময় এবং ফলা গঠনকালে নিয়মিত সেচ দিন। উপরের পানি থেকে বিরত থাকুন, যা ফুল ও ফল পড়তে পারে। মাটি ৬০°F (১৬°C) এর বেশি তাপমাত্রায় পৌঁছালে মালচ প্রয়োগ করুন যাতে মাটির আর্দ্রতা ধরে রাখা যায়।","ফাইবারে উচ্চ
প্রোটিনে উচ্চ
স্যাচুরেটেড ফ্যাটে কম
কলেস্টেরল মুক্ত
ল্যাকটোজ মুক্ত
ওমেগা-৩ ফ্যাটি অ্যাসিডের ভালো উৎস
অ্যান্টিঅক্সিডেন্টে ভরপুর
ফাইটোস্ট্রোজেনে উচ্চ।",https://upload.wikimedia.org/wikipedia/commons/a/ac/Soybean_leaves.jpg
26,Squash : Powdery Mildew,"সাদা গুঁড়ো দাগ উভয় পাতার উপরের এবং নিচের পৃষ্ঠে তৈরি হতে পারে, এবং দ্রুত বড় দাগে পরিণত হতে পারে।
পাউডারি মিলডিউ গাছটি দুর্বল করে দেয় এবং ফলে অকাল ফলন হয়। আক্রান্ত গাছপালায় কম এবং ছোট ফল ফলায়।
গরম, শুষ্ক অবস্থায়, নতুন স্পোর তৈরি হয় এবং সহজেই রোগটি ছড়িয়ে পড়ে।
পাউডারি মিলডিউয়ের লক্ষণগুলি মিনেসোটাতে গ্রীষ্মের মাঝামাঝি থেকে শেষের দিকে প্রথম দেখা দেয়।
গাছপালার চারপাশে সঠিকভাবে স্থান দেওয়া, গাছপালার স্টেকিং এবং আগাছা নিয়ন্ত্রণের মাধ্যমে ভালো বায়ু চলাচল নিশ্চিত করুন।
যদি সংবেদনশীল জাতগুলি এমন একটি এলাকায় বৃদ্ধি পায় যেখানে পূর্বে পাউডারি মিলডিউয়ের কারণে ফলন হ্রাস পেয়েছিল, তবে ছত্রাকনাশক প্রয়োগ করা প্রয়োজন হতে পারে।","এক টেবিল চামচ বেকিং সোডা এবং আধা চা চামচ তরল, নন-ডিটারজেন্ট সাবান এক গ্যালন পানির সাথে মিশিয়ে গাছগুলির উপর প্রচুর পরিমাণে স্প্রে করুন। মাউথওয়াশ। আপনি যেই মাউথওয়াশ প্রতিদিন ব্যবহার করেন মুখের জীবাণু মেরে ফেলার জন্য, তা পাউডারি মিলডিউ স্পোর মেরে ফেলতেও কার্যকর হতে পারে।",https://extension.umn.edu/sites/extension.umn.edu/files/styles/caption_medium/public/powdery-mildew-2.jpg?itok=Un68av52
